customer_id,first_name,last_name,email,phone,address,city,state,zip_code,country,date_joined,customer_segment,lifetime_value
CUST_000001,Danielle,Johnson,john21@example.net,001-581-896-0013x3890,"26542 Susan Junction Apt. 161, Melanieview, AS 06196",Herrerafurt,Colorado,72858,USA,2024-03-05,Budget,645.52
CUST_000002,Maria,Montgomery,barbara10@example.net,441.731.6475,"192 Frank Light Suite 835, East Lydiamouth, MO 35594",East Robinshire,Virginia,41746,USA,2024-01-03,Budget,1447.64
CUST_000003,Diana,Foster,ithomas@example.org,001-388-249-6965x3287,"269 Paul Ranch, Riceside, VI 02005",Lake Nicoleview,Wyoming,84513,USA,2024-04-11,Premium,783.74
CUST_000004,Daniel,Graham,usmith@example.net,282-781-4893x252,"4303 Christopher Oval, Port Amandaberg, DC 86975",Arroyoburgh,Kentucky,69664,USA,2025-05-29,Premium,3415.83
CUST_000005,Catherine,Brandt,jenniferross@example.net,+1-557-587-1331x5098,"10518 Joshua Oval, New David, FM 75348",Sanchezfort,Nebraska,25458,USA,2023-10-03,Budget,526.0
CUST_000006,Collin,Jordan,ujenkins@example.org,+1-610-965-1333x87262,"8108 Tanya Terrace, East Richard, NJ 28517",Barreraburgh,Missouri,00783,USA,2024-05-20,Regular,255.74
CUST_000007,Joseph,Bowers,smitchell@example.net,+1-272-734-3098,"820 Melissa Cliff Apt. 361, New Brooke, RI 11246",Sandovalshire,North Dakota,41968,USA,2025-07-17,Premium,1171.33
CUST_000008,Jose,Santiago,john62@example.net,+1-647-451-0799x1183,"USS Suarez, FPO AA 37854",South Martha,Virginia,40152,USA,2024-11-08,Budget,3049.89
CUST_000009,Tonya,Roman,contrerasangela@example.net,524-711-8244,"740 Cynthia Village Suite 005, Lake Tina, GA 97655",Arnoldchester,Oklahoma,01768,USA,2023-10-16,Budget,1074.3
CUST_000010,Charles,Ware,amydavenport@example.net,+1-526-520-4505,"692 Michelle Union Apt. 602, Kimberlychester, AS 88307",West Erik,Vermont,14669,USA,2024-05-14,Budget,3536.49
CUST_000011,Monica,Garrison,jamessellers@example.com,733-203-6541x4586,"94019 Reed Turnpike Suite 698, South Rachelborough, KS 06318",Smithside,Utah,94798,USA,2025-07-21,Regular,1180.16
CUST_000012,Judy,Lambert,ryan59@example.com,+1-414-684-6564x82366,"4369 Marshall Mills, New Thomas, MH 96964",Lake Christopher,North Carolina,87513,USA,2024-11-24,Budget,1463.13
CUST_000013,Christine,Davis,emilywalker@example.org,(500)837-9176,"01632 Williams Gateway, South Dennismouth, TN 70117",Stephaniemouth,South Carolina,94777,USA,2025-06-13,Premium,3818.16
CUST_000014,William,Rivas,vmerritt@example.com,643.748.7347x143,"23623 Robert Isle, Perryborough, MP 55570",Steinshire,Vermont,03061,USA,2025-05-17,Premium,3520.88
CUST_000015,Nicole,Johnston,wsmith@example.com,001-766-888-9373x46706,"98069 Christopher Meadow Apt. 720, Nicholasborough, NH 43341",Kathleenfurt,Louisiana,99068,USA,2025-04-28,Regular,1461.57
CUST_000016,Robert,Conley,ismith@example.org,(931)300-3309x232,"4529 Kimberly Estates, Danieltown, ME 75971",Sandersborough,California,78108,USA,2025-01-08,Premium,4790.34
CUST_000017,Maria,Sanchez,melissa91@example.net,8589651850,"726 Jessica Run Suite 987, Grahamshire, KY 42746",Port Sarah,Louisiana,59588,USA,2024-01-27,Regular,600.83
CUST_000018,Karen,Hudson,frogers@example.com,(273)554-5494,"8377 Mcguire Course Suite 363, Elizabethstad, NJ 73045",Ronaldside,Michigan,46613,USA,2025-01-17,Regular,573.91
CUST_000019,Shawn,Parker,davidlee@example.org,001-682-533-7498x9413,"82400 Terry Crossroad Suite 109, Taylormouth, MA 24665",West Shelleyfort,Delaware,09065,USA,2024-05-28,Regular,3058.26
CUST_000020,Travis,Ray,hernandezlisa@example.com,831-986-9993,"PSC 4964, Box 9909, APO AP 13507",Lake Jason,Texas,11142,USA,2023-11-20,Premium,3675.69
CUST_000021,John,Arnold,aaronhayes@example.net,340.534.4713x4936,"10249 Gonzales Mountain Suite 648, Kimton, FM 57127",Cassandratown,Colorado,30506,USA,2024-12-26,Budget,711.65
CUST_000022,Mary,Johnston,keyemily@example.com,001-802-978-7429,"Unit 7565 Box 5125, DPO AA 91422",Robertsfurt,Wisconsin,72603,USA,2023-08-19,Regular,486.12
CUST_000023,Shawn,Edwards,darrell68@example.org,+1-487-660-3859x77034,"09324 Andrea Course Apt. 171, South Sarah, LA 67199",Robertfort,New Mexico,32447,USA,2024-07-10,Regular,4164.08
CUST_000024,Andrea,Reyes,michellehill@example.com,784-804-4997x27875,"39636 Louis Mountains Suite 627, East Wayneshire, MA 13655",Garciamouth,Alabama,95193,USA,2023-11-10,Budget,4438.71
CUST_000025,Robert,Pena,charlesharrington@example.com,696-515-8657x80913,"17240 Mark Centers Suite 556, East Amanda, OK 89865",East Gregory,South Carolina,50641,USA,2024-11-14,Regular,2929.03
CUST_000026,Felicia,Jimenez,jesselittle@example.com,607-948-2175x946,"7136 Andrews Squares, Andrewfurt, KY 01562",New Julieport,Wyoming,30663,USA,2024-11-04,Budget,440.82
CUST_000027,Laurie,Robinson,christinebyrd@example.net,001-421-504-7095x21456,"842 Sloan Orchard Suite 517, East Karenbury, VI 89148",Coffeyside,Mississippi,12337,USA,2025-03-27,Budget,1216.7
CUST_000028,Ralph,Baker,gibsonemily@example.net,596-351-3709x859,"461 Brandon Camp Suite 711, New Derek, NH 49130",Matthewsberg,Nebraska,86342,USA,2023-10-06,Regular,4927.59
CUST_000029,Martha,Gilbert,antonio53@example.com,935.315.8506x431,"53293 Maria Plaza, New Jason, VI 31040",Kimtown,Louisiana,19465,USA,2023-10-30,Premium,4345.77
CUST_000030,Amber,Lindsey,guerreroanthony@example.org,(339)950-2402x681,"917 Sonia Cape Suite 700, Boonechester, TX 14651",Josephmouth,California,11090,USA,2024-03-28,Regular,1462.07
CUST_000031,Charlene,Jones,claudia98@example.net,969-584-7896x11836,"6156 Ortega Landing Apt. 711, North Ryanstad, AS 17555",New Sueside,Michigan,88320,USA,2023-10-24,Budget,4187.14
CUST_000032,Robert,Russo,uparrish@example.org,794-351-9832x7315,"8998 Chelsea Shoals, Anthonyview, UT 41000",Michaelburgh,Georgia,74729,USA,2024-12-13,Premium,1913.89
CUST_000033,Richard,Thomas,davisalyssa@example.com,(275)325-4599x10229,"9764 Kari Crescent Suite 614, Roseport, AZ 29404",Joyceton,Alabama,27295,USA,2024-03-12,Premium,3383.86
CUST_000034,Sierra,Saunders,keith10@example.com,001-862-226-8388x5160,"9696 Roberts Lodge, West Georgemouth, MP 90889",Christopherville,Kansas,57605,USA,2024-10-21,Budget,4689.61
CUST_000035,Richard,Miller,julie35@example.org,581-388-3552,"92127 Webster Trace, Maldonadoshire, SD 83770",Michellemouth,Georgia,58141,USA,2023-09-13,Budget,449.87
CUST_000036,Taylor,Welch,brittany58@example.org,977-200-5411x9986,"9782 Shannon Valleys, Toniland, NY 85190",North John,New Hampshire,58096,USA,2024-09-01,Budget,938.58
CUST_000037,Alexandra,Moore,samantha66@example.com,+1-390-451-5186x44925,"PSC 4629, Box 1486, APO AP 43555",Lake Jacqueline,West Virginia,90339,USA,2025-06-29,Budget,1299.57
CUST_000038,Alicia,Lucas,bromero@example.com,223-757-3322x1418,"622 Marie Trail, Lake Samuel, MT 48250",South Cheryl,Wisconsin,98613,USA,2025-03-21,Regular,1959.33
CUST_000039,Shane,Ferguson,tammy73@example.com,+1-297-974-6886x23924,"814 Kathryn Groves, Whiteheadberg, MP 57841",East Lisastad,Alaska,54882,USA,2023-09-01,Budget,3471.99
CUST_000040,Randy,Brooks,xvang@example.org,4519522047,"04328 Rodriguez Heights, West David, IA 55528",Brownfort,Rhode Island,70762,USA,2023-08-03,Premium,3454.61
CUST_000041,Crystal,Andrews,kellysmith@example.com,296.821.8518,"654 Michael Cliff, Johnville, WI 76772",Dennisstad,Ohio,44875,USA,2025-04-13,Premium,1222.34
CUST_000042,Dawn,Greer,epollard@example.net,(221)770-4303,"USCGC Hays, FPO AP 62550",Benjaminborough,Maine,47290,USA,2025-05-21,Premium,4044.72
CUST_000043,Kimberly,Glenn,joshua56@example.com,001-876-452-7758x4161,"15447 Jackson Mills Suite 705, Hillton, CA 88474",Coxburgh,Alaska,19215,USA,2025-05-11,Regular,1411.93
CUST_000044,Cathy,Harrington,martinezjoel@example.net,(456)790-9275x571,"10278 Mcintyre Crest Suite 473, Heatherfort, ID 16575",Port Charles,Idaho,94003,USA,2024-07-01,Premium,4574.37
CUST_000045,Wendy,Cochran,elizabeth18@example.net,742-725-8313x2370,"114 Key Stravenue, Foxchester, GU 75854",East Teresaland,New Hampshire,61558,USA,2024-12-31,Budget,4394.2
CUST_000046,Zachary,Anderson,katrinaanderson@example.net,7186242253,"84249 Wayne Extension Apt. 299, Meganshire, AZ 04219",North Stacyshire,Kentucky,85845,USA,2024-01-01,Regular,1141.87
CUST_000047,Katie,Butler,jimenezcourtney@example.com,+1-947-536-4710x2767,"5562 Robertson Coves, Johnville, KY 59430",East Colin,Maine,50852,USA,2025-05-23,Regular,2038.6
