transaction_id,customer_id,product_id,quantity,unit_price,total_amount,discount_amount,tax_amount,shipping_cost,payment_method,transaction_date,order_status,shipping_address,channel
TXN_00000001,CUST_000167,PROD_000489,1,327.15,327.15,6.68,26.17,10.26,PayPal,2025-07-22 14:06:23,Completed,"0254 Huber River Apt. 842, Port Jean, MH 87841",In-Store
TXN_00000002,CUST_000759,PROD_000155,5,81.49,407.43,45.27,32.59,11.68,Bank Transfer,2025-07-22 14:07:57,Refunded,"675 Shah Fork, West Stephanie, TX 75810",Phone
TXN_00000003,CUST_000546,PROD_000399,5,208.31,1041.53,54.82,83.32,11.01,Bank Transfer,2025-07-22 14:06:28,Cancelled,"22487 Brenda Street Suite 264, Harrisburgh, MN 10741",In-Store
TXN_00000004,CUST_000880,PROD_000194,3,276.1,828.3,43.59,66.26,2.51,PayPal,2025-07-22 14:05:16,Cancelled,"85255 Jennings Trail Apt. 559, East Brianhaven, DE 75891",Website
TXN_00000005,CUST_000792,PROD_000486,4,364.84,1459.38,29.78,116.75,8.67,Credit Card,2025-07-22 14:05:11,Cancelled,"830 Blake Mountain Suite 274, Katieville, CO 51495",Website
TXN_00000006,CUST_000067,PROD_000183,3,376.66,1129.97,59.47,90.4,7.27,Debit Card,2025-07-22 14:05:19,Completed,"982 Cuevas Orchard Apt. 461, Port Sheliaberg, MI 41381",In-Store
TXN_00000007,CUST_000447,PROD_000046,3,113.47,340.42,37.82,27.23,1.99,PayPal,2025-07-22 14:04:32,Cancelled,"585 Joel Place, Glasston, ID 02773",In-Store
TXN_00000008,CUST_000800,PROD_000435,1,173.92,173.92,19.32,13.91,11.12,Debit Card,2025-07-22 14:07:49,Pending,"USS Morales, FPO AA 79864",Phone
TXN_00000009,CUST_000988,PROD_000466,3,401.64,1204.92,63.42,96.39,12.12,PayPal,2025-07-22 14:09:56,Pending,"12746 Daniel Loaf, North Karen, CO 75299",Phone
TXN_00000010,CUST_000087,PROD_000135,2,253.08,506.15,10.33,40.49,11.99,Credit Card,2025-07-22 14:07:34,Cancelled,"56527 Jose Mountain Suite 349, East Karenville, CO 88075",Website
TXN_00000011,CUST_000881,PROD_000250,2,424.75,849.51,44.71,67.96,8.93,Debit Card,2025-07-22 14:04:22,Refunded,"555 Micheal Isle Apt. 082, South Samuel, MA 39825",Phone
TXN_00000012,CUST_000414,PROD_000169,4,36.65,146.61,2.99,11.73,3.57,Bank Transfer,2025-07-22 14:07:23,Pending,"63248 Mercado Estate Apt. 762, Ramirezview, PA 28569",Mobile App
TXN_00000013,CUST_000349,PROD_000378,5,395.05,1975.24,103.96,158.02,11.02,PayPal,2025-07-22 14:09:57,Completed,"PSC 9988, Box 6834, APO AA 18258",In-Store
TXN_00000014,CUST_000694,PROD_000306,1,114.88,114.88,2.34,9.19,0.79,Bank Transfer,2025-07-22 14:08:28,Refunded,"14107 Stephen Mews Apt. 485, Port Destinyside, MP 80016",Phone
TXN_00000015,CUST_000179,PROD_000385,3,83.71,251.13,5.13,20.09,7.14,Debit Card,2025-07-22 14:04:25,Refunded,"9171 Matthew Parkway Suite 294, Taraborough, NM 83789",Phone
TXN_00000016,CUST_000034,PROD_000400,4,489.25,1956.98,39.94,156.56,3.94,Bank Transfer,2025-07-22 14:10:07,Completed,"9696 Roberts Lodge, West Georgemouth, MP 90889",In-Store
TXN_00000017,CUST_000579,PROD_000467,4,421.72,1686.89,34.43,134.95,5.73,PayPal,2025-07-22 14:08:46,Completed,"91430 Washington Ramp, Littleview, NH 79860",Website
TXN_00000018,CUST_000757,PROD_000347,5,192.77,963.87,50.73,77.11,9.56,Bank Transfer,2025-07-22 14:06:58,Cancelled,"2264 Jonathan Way, Roberttown, FM 02011",In-Store
TXN_00000019,CUST_000046,PROD_000310,3,236.13,708.4,37.28,56.67,4.01,Credit Card,2025-07-22 14:07:46,Cancelled,"84249 Wayne Extension Apt. 299, Meganshire, AZ 04219",Phone
TXN_00000020,CUST_000613,PROD_000233,4,121.81,487.22,54.14,38.98,11.6,Debit Card,2025-07-22 14:09:15,Pending,"7699 Jonathan Mill, Sellersburgh, IN 94994",In-Store
TXN_00000021,CUST_000550,PROD_000408,2,452.49,904.97,18.47,72.4,4.7,Credit Card,2025-07-22 14:04:15,Completed,"11915 George Meadows, Holderport, VA 80015",Website
TXN_00000022,CUST_000643,PROD_000179,1,112.33,112.33,5.91,8.99,6.17,Credit Card,2025-07-22 14:05:19,Refunded,"81168 Heather Corners Apt. 307, South David, AR 62305",In-Store
TXN_00000023,CUST_000282,PROD_000012,2,320.25,640.49,71.17,51.24,10.88,PayPal,2025-07-22 14:08:58,Pending,"433 Ryan Pines Apt. 190, East Arthurberg, MH 01187",Website
TXN_00000024,CUST_000257,PROD_000411,1,341.0,341.0,37.89,27.28,9.29,Credit Card,2025-07-22 14:09:53,Pending,"740 Joyce Gardens Apt. 214, Moorefurt, PR 10066",Website
TXN_00000025,CUST_000498,PROD_000416,1,83.65,83.65,9.29,6.69,1.3,Debit Card,2025-07-22 14:09:09,Refunded,"84523 Ochoa Shoals Suite 268, Greenfort, AR 15237",Mobile App
TXN_00000026,CUST_000253,PROD_000157,1,103.82,103.82,11.54,8.31,10.43,PayPal,2025-07-22 14:05:01,Cancelled,"0412 Nicole Bypass Apt. 820, Wallmouth, OH 93746",Phone
TXN_00000027,CUST_000700,PROD_000162,1,416.54,416.54,46.28,33.32,9.58,PayPal,2025-07-22 14:09:33,Refunded,"63361 Chase Ridges, Josephton, WV 06452",In-Store
TXN_00000028,CUST_000509,PROD_000144,3,252.81,758.43,84.27,60.67,2.43,Credit Card,2025-07-22 14:08:26,Cancelled,"6345 Baxter Highway Apt. 441, Cherylfurt, OK 79600",Website
TXN_00000029,CUST_000817,PROD_000070,4,371.03,1484.11,30.29,118.73,5.83,Credit Card,2025-07-22 14:04:38,Cancelled,"3228 Cabrera Valleys, Livingstontown, ME 93455",In-Store
TXN_00000030,CUST_000255,PROD_000141,2,37.17,74.34,8.26,5.95,6.61,Bank Transfer,2025-07-22 14:08:28,Pending,"356 Dickson Squares Apt. 568, New Lindseyberg, AK 77463",Phone
TXN_00000031,CUST_000508,PROD_000455,2,154.18,308.36,34.26,24.67,9.68,Credit Card,2025-07-22 14:08:31,Pending,"9692 Alexander Creek Suite 296, West Jamie, UT 49123",Phone
TXN_00000032,CUST_000677,PROD_000025,2,227.36,454.73,23.93,36.38,9.21,Credit Card,2025-07-22 14:08:29,Refunded,"43766 John Mall, Jacksontown, NY 11294",In-Store
TXN_00000033,CUST_000159,PROD_000069,1,454.27,454.27,9.27,36.34,0.52,Credit Card,2025-07-22 14:04:17,Cancelled,"79931 Ronald Valleys, Nguyenshire, ND 18501",Phone
TXN_00000034,CUST_000586,PROD_000110,1,340.34,340.34,37.82,27.23,13.45,Debit Card,2025-07-22 14:07:56,Completed,"95385 Olson Grove, North Peter, KY 31231",Website
TXN_00000035,CUST_000407,PROD_000491,4,187.25,749.02,83.22,59.92,4.0,PayPal,2025-07-22 14:05:24,Refunded,"649 Smith Crescent, Garzaview, UT 17303",Website
TXN_00000036,CUST_000132,PROD_000408,5,415.55,2077.74,230.86,166.22,10.61,Bank Transfer,2025-07-22 14:06:33,Refunded,"24593 Jonathan Hills Apt. 969, Lake Chris, MD 63747",Phone
TXN_00000037,CUST_000237,PROD_000177,4,113.42,453.68,23.88,36.29,12.66,Credit Card,2025-07-22 14:05:28,Pending,"43298 Brittany Harbors, Lake Cindy, CA 72570",Website
TXN_00000038,CUST_000568,PROD_000265,4,388.58,1554.3,172.7,124.34,14.31,Bank Transfer,2025-07-22 14:04:43,Completed,"4380 Pamela Hill Apt. 485, Powersfurt, AR 21734",In-Store
TXN_00000039,CUST_000792,PROD_000225,3,243.93,731.8,14.93,58.54,10.23,Bank Transfer,2025-07-22 14:08:16,Completed,"830 Blake Mountain Suite 274, Katieville, CO 51495",Website
TXN_00000040,CUST_000480,PROD_000056,3,364.04,1092.12,57.48,87.37,8.02,PayPal,2025-07-22 14:07:00,Completed,"2944 Miranda Loop Apt. 982, Harrisport, AS 71072",Phone
TXN_00000041,CUST_000421,PROD_000013,3,230.54,691.61,14.11,55.33,9.72,Debit Card,2025-07-22 14:06:12,Completed,"9050 Mcdaniel Centers, Johnborough, IL 47039",Phone
TXN_00000042,CUST_000201,PROD_000062,2,210.1,420.19,46.69,33.62,4.48,Bank Transfer,2025-07-22 14:04:21,Completed,"18510 Olson Inlet Suite 567, Port Dillon, SC 60916",In-Store
TXN_00000043,CUST_000818,PROD_000022,4,313.15,1252.59,65.93,100.21,1.27,Bank Transfer,2025-07-22 14:08:59,Pending,"7386 James Branch Suite 484, Porterbury, IL 25065",Mobile App
TXN_00000044,CUST_000221,PROD_000230,1,210.06,210.06,23.34,16.8,2.9,Debit Card,2025-07-22 14:10:06,Refunded,"10600 Hoover Springs, East Susanville, AS 87547",Phone
TXN_00000045,CUST_000026,PROD_000105,1,35.54,35.54,0.73,2.84,11.89,PayPal,2025-07-22 14:07:59,Refunded,"7136 Andrews Squares, Andrewfurt, KY 01562",Phone
TXN_00000046,CUST_000040,PROD_000003,1,132.35,132.35,14.71,10.59,0.56,Credit Card,2025-07-22 14:08:08,Cancelled,"04328 Rodriguez Heights, West David, IA 55528",Website
TXN_00000047,CUST_000993,PROD_000449,4,283.61,1134.45,59.71,90.76,1.77,Bank Transfer,2025-07-22 14:05:26,Pending,"82261 Douglas Station Apt. 294, Bettyport, ID 88437",Mobile App
TXN_00000048,CUST_000081,PROD_000339,1,221.55,221.55,24.62,17.72,0.55,Debit Card,2025-07-22 14:05:29,Refunded,"941 Wendy Flat, Lambland, MH 43957",Website
TXN_00000049,CUST_000710,PROD_000217,4,203.85,815.4,16.64,65.23,13.61,Credit Card,2025-07-22 14:07:26,Pending,"PSC 8617, Box 8925, APO AA 16802",Mobile App
TXN_00000050,CUST_000145,PROD_000301,1,348.12,348.12,18.32,27.85,2.58,Credit Card,2025-07-22 14:09:18,Cancelled,"17807 James Orchard, Kimberlyberg, WI 13379",Website
TXN_00000051,CUST_000367,PROD_000436,4,440.29,1761.15,92.69,140.89,9.17,Credit Card,2025-07-22 14:07:48,Completed,"3305 Summers Orchard, Port Joseph, MD 64031",Website
TXN_00000052,CUST_000035,PROD_000452,4,486.99,1947.97,39.75,155.84,8.92,Debit Card,2025-07-22 14:07:32,Completed,"92127 Webster Trace, Maldonadoshire, SD 83770",Mobile App
TXN_00000053,CUST_000625,PROD_000159,4,56.93,227.73,11.99,18.22,5.06,Bank Transfer,2025-07-22 14:07:59,Cancelled,"9469 Sarah Drives Apt. 272, Lake Thomas, NV 82378",Website
TXN_00000054,CUST_000249,PROD_000179,5,115.88,579.38,11.82,46.35,8.19,PayPal,2025-07-22 14:06:07,Pending,"18513 Timothy Port, Ochoaport, MA 63272",Website
TXN_00000055,CUST_000034,PROD_000198,5,166.4,832.02,16.98,66.56,2.6,Credit Card,2025-07-22 14:06:34,Completed,"9696 Roberts Lodge, West Georgemouth, MP 90889",In-Store
TXN_00000056,CUST_000293,PROD_000018,2,106.83,213.66,4.36,17.09,11.36,Debit Card,2025-07-22 14:09:29,Cancelled,"732 Smith Crest, Bakerside, VT 62086",Mobile App
TXN_00000057,CUST_000413,PROD_000286,4,27.13,108.53,5.71,8.68,3.65,Credit Card,2025-07-22 14:06:53,Pending,"33247 Dorothy Fork, North David, PW 95405",Website
TXN_00000058,CUST_000218,PROD_000282,5,195.1,975.49,19.91,78.04,5.64,Debit Card,2025-07-22 14:08:39,Completed,"99493 Hill Avenue Apt. 716, New Mark, OK 64851",Phone
TXN_00000059,CUST_000134,PROD_000043,1,24.5,24.5,1.29,1.96,0.1,Debit Card,2025-07-22 14:10:08,Completed,"66553 Cooper Shoal, Port Kevinstad, RI 58462",In-Store
TXN_00000060,CUST_000786,PROD_000081,4,300.46,1201.83,63.25,96.15,10.4,Bank Transfer,2025-07-22 14:07:55,Pending,"Unit 8287 Box 3210, DPO AA 90016",Mobile App
TXN_00000061,CUST_000333,PROD_000248,2,263.3,526.61,58.51,42.13,9.6,Bank Transfer,2025-07-22 14:04:43,Refunded,"459 Morrow Manor, East Sharon, FL 97752",Mobile App
TXN_00000062,CUST_000217,PROD_000488,2,293.44,586.87,65.21,46.95,9.16,Credit Card,2025-07-22 14:04:57,Pending,"71597 Davis Cove Apt. 097, East Jamesfurt, LA 27487",Phone
TXN_00000063,CUST_000859,PROD_000357,5,152.36,761.8,84.64,60.94,14.25,PayPal,2025-07-22 14:06:58,Cancelled,"9981 Denise Canyon, Hernandezport, GA 54030",Phone
TXN_00000064,CUST_000181,PROD_000053,1,150.63,150.63,7.93,12.05,8.37,Debit Card,2025-07-22 14:04:30,Completed,"1364 Lucas Glens Apt. 631, East Anthony, AS 41204",Website
TXN_00000065,CUST_000765,PROD_000195,5,382.11,1910.54,100.56,152.84,5.43,Debit Card,2025-07-22 14:04:34,Refunded,"308 Brandon Locks Suite 899, Dakotaview, MI 37732",Mobile App
TXN_00000066,CUST_000163,PROD_000153,3,434.22,1302.67,144.74,104.21,0.8,Credit Card,2025-07-22 14:08:42,Pending,"97740 Fitzgerald Gateway Apt. 569, New Sophia, PW 75697",Phone
TXN_00000067,CUST_000403,PROD_000051,4,382.59,1530.36,170.04,122.43,2.64,Credit Card,2025-07-22 14:07:22,Completed,"56618 Lewis Field Suite 913, Grantmouth, MS 42734",In-Store
TXN_00000068,CUST_000273,PROD_000093,3,170.08,510.24,26.85,40.82,3.14,PayPal,2025-07-22 14:08:56,Cancelled,"579 Tracy Gateway, Rodrigueztown, OK 89636",Phone
TXN_00000069,CUST_000751,PROD_000371,1,363.77,363.77,7.42,29.1,1.57,Credit Card,2025-07-22 14:06:57,Pending,"179 Collins Crescent, Smithborough, WV 24454",Mobile App
TXN_00000070,CUST_000704,PROD_000442,1,208.2,208.2,23.13,16.66,7.28,Credit Card,2025-07-22 14:06:30,Completed,"Unit 6409 Box 9414, DPO AA 46579",Mobile App
TXN_00000071,CUST_000498,PROD_000198,4,152.82,611.28,67.92,48.9,8.89,PayPal,2025-07-22 14:09:06,Refunded,"84523 Ochoa Shoals Suite 268, Greenfort, AR 15237",Mobile App
TXN_00000072,CUST_000244,PROD_000080,3,82.74,248.21,27.58,19.86,3.45,Credit Card,2025-07-22 14:04:46,Cancelled,"0860 Rodriguez Lakes Suite 563, Pattyburgh, AZ 00571",Mobile App
TXN_00000073,CUST_000671,PROD_000077,1,268.77,268.77,14.15,21.5,3.56,Bank Transfer,2025-07-22 14:06:41,Pending,"76698 Jonathan Cliff Suite 025, Port April, ME 56399",Phone
TXN_00000074,CUST_000923,PROD_000018,2,103.56,207.12,10.9,16.57,1.1,Bank Transfer,2025-07-22 14:10:05,Completed,"1101 Owens Bridge Apt. 325, Frankport, TN 39004",Phone
TXN_00000075,CUST_000286,PROD_000411,2,359.95,719.89,37.89,57.59,3.24,Bank Transfer,2025-07-22 14:07:31,Pending,"USNS Simpson, FPO AP 47288",Phone
TXN_00000076,CUST_000256,PROD_000446,3,447.86,1343.58,27.42,107.49,2.05,Debit Card,2025-07-22 14:07:11,Cancelled,"39912 Davis Bridge Apt. 481, Davismouth, GA 39246",In-Store
TXN_00000077,CUST_000141,PROD_000436,2,454.19,908.38,18.54,72.67,5.04,Credit Card,2025-07-22 14:04:46,Completed,"77780 Young Radial Suite 767, New Carolbury, FM 72242",In-Store
TXN_00000078,CUST_000637,PROD_000367,2,291.03,582.07,64.67,46.57,1.67,Bank Transfer,2025-07-22 14:07:55,Refunded,"3776 Davis Fields Apt. 858, North Coryside, NJ 32378",Phone
TXN_00000079,CUST_000949,PROD_000367,2,291.03,582.07,64.67,46.57,11.41,Debit Card,2025-07-22 14:08:26,Cancelled,"10907 Davis Point Apt. 353, Port Molly, NJ 83023",Mobile App
TXN_00000080,CUST_000219,PROD_000164,5,151.51,757.54,15.46,60.6,13.58,Debit Card,2025-07-22 14:09:11,Completed,"24841 Regina Loop, West Charlesville, NY 43232",Phone
TXN_00000081,CUST_000778,PROD_000375,5,353.24,1766.2,36.04,141.3,7.34,Debit Card,2025-07-22 14:05:38,Refunded,"49317 Alexander Bypass, Smithstad, OH 84529",Phone
TXN_00000082,CUST_000002,PROD_000081,3,309.94,929.83,18.98,74.39,0.22,Bank Transfer,2025-07-22 14:05:08,Pending,"192 Frank Light Suite 835, East Lydiamouth, MO 35594",Mobile App
TXN_00000083,CUST_000353,PROD_000204,3,149.38,448.13,23.59,35.85,6.51,Debit Card,2025-07-22 14:05:25,Pending,"69572 Harper Canyon, Port Jason, MD 06236",Website
TXN_00000084,CUST_000172,PROD_000279,4,197.29,789.15,41.53,63.13,14.7,Credit Card,2025-07-22 14:07:57,Refunded,"7652 Jeffery Parkway Apt. 389, South Stevenland, DE 17701",Website
TXN_00000085,CUST_000459,PROD_000052,4,394.26,1577.05,175.23,126.16,7.97,Bank Transfer,2025-07-22 14:04:45,Completed,"141 Rodriguez Meadow, South Rachelbury, HI 64399",Phone
TXN_00000086,CUST_000025,PROD_000041,4,465.09,1860.37,97.91,148.83,3.61,Credit Card,2025-07-22 14:09:20,Refunded,"17240 Mark Centers Suite 556, East Amanda, OK 89865",Mobile App
TXN_00000087,CUST_000877,PROD_000031,2,171.09,342.18,38.02,27.37,5.38,Debit Card,2025-07-22 14:06:55,Completed,"16785 Vaughan Grove Apt. 889, Wendyshire, IL 03640",Website
TXN_00000088,CUST_000550,PROD_000485,4,216.83,867.34,17.7,69.39,10.04,Debit Card,2025-07-22 14:05:24,Refunded,"11915 George Meadows, Holderport, VA 80015",Website
TXN_00000089,CUST_000744,PROD_000056,4,364.04,1456.16,76.64,116.49,6.96,Debit Card,2025-07-22 14:07:39,Refunded,"0128 Jaime Ports, Michaelshire, VT 63702",Mobile App
TXN_00000090,CUST_000270,PROD_000293,3,102.38,307.12,34.12,24.57,9.4,Credit Card,2025-07-22 14:04:59,Completed,"98854 Rios Vista Apt. 235, Hesterhaven, ID 52956",Phone
TXN_00000091,CUST_000996,PROD_000028,3,165.19,495.57,10.11,39.65,7.96,PayPal,2025-07-22 14:08:19,Refunded,"873 Kari Path Suite 810, West Jason, CT 18405",In-Store
TXN_00000092,CUST_000531,PROD_000335,5,251.37,1256.85,139.65,100.55,8.14,Debit Card,2025-07-22 14:05:14,Completed,"652 Case Lane Apt. 215, Cherylchester, VI 63112",In-Store
